A Christmas Carol [One Voice Recordings Edition],1002,['Charles Dickens']
A Farewell to Arms,1475,['Ernest Hemingway']
A Portrait of the Artist As a Young Man,614,['James Joyce']
A Portrait of the Artist as a Young Man,918,['James Joyce']
A Tree Grows in Brooklyn,3904,['Betty Smith']
"A Tree Grows in Brooklyn by Smith, Betty",786,['Betty Smith']
ANIMAL FARM - A Fairy Story (Time Reading Program Special Edition),1447,['Gillian Fenwick']
Adventures of Huckleberry Finn,1553,['Mark Twain']
All Creatures Great and Small,824,['James Herriot']
All quiet on the western front;,573,['Erich Maria Remarque']
Animal Farm 50TH Anniversary Edition,1454,['George Orwell']
Black Notice (Random House Large Print),654,['Patricia Daniels Cornwell']
Black and Blue: A Novel (Oprah's Book Club),500,['Anna Quindlen']
"Brave new world,: A novel",1053,['Aldous Huxley']
Bridge to Terabithia,975,['Andrew Davenport']
Catch 22,2084,['Joseph Heller']
Catch 22 (catch-22),1044,['Joseph Heller']
Executive Orders,568,['Tom Clancy']
Foundation And Empire,609,['D. G. Leahy']
Foundation and Empire,1218,['D. G. Leahy']
Frankenstein (Running Press classics),764,['Mary Wollstonecraft Shelley']
Harry Potter and the Chamber of Secrets,3137,['J. K. Rowling']
Heart of Darkness,788,['Joseph Conrad']
Heart of Darkness (Everyman Classics),656,['Joseph Conrad']
I Am Legend,788,['Richard Matheson']
I am Legend,794,['Richard Matheson']
I know this much is true,1630,['Wally Lamb']
Jane Eyre (Everyman's Classics),1523,['Charlotte Brontë']
Jane Eyre (New Windmill),1523,['Charlotte Brontë']
Jude the Obscure,503,['Thomas Hardy']
Killing Time,538,['Paul Feyerabend']
"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",515,['Laura Esquivel']
Little Women (Courage giant classics),836,['Louisa May Alcott']
Memoirs of a Geisha (Signed),2693,['Arthur Golden']
Naked in Death,768,['J. D. Robb']
"No man knows my history: The life of Joseph Smith, the Mormon prophet",636,['Fawn McKay Brodie']
OF MICE AND MEN,1348,['John Steinbeck']
Of Mice And Men,1344,['John Steinbeck']
One Hundred Years of Solitude,907,['Gabriel García Márquez']
Point of origin,521,['Patricia Daniels Cornwell']
Pride and Prejudice,20371,['Jane Austen']
Red Tent,1736,['Anita Diamant']
"Rich Dad, Poor Dad",2734,['Sharon L. Lechter']
Slaughter-House Five,1000,['Kurt Vonnegut']
Slaughter-House Five (First paperback edition),991,['Kurt Vonnegut']
Slaughterhouse-Five,2975,['Kurt Vonnegut']
Slaughterhouse-Five : Or the Children's Crusade,1000,['Kurt Vonnegut']
"Slaughterhouse-five: Or, The children's crusade : a duty-dance with death",998,['Kurt Vonnegut']
The Adventures of Huckleberry Finn,762,['Mark Twain']
The Adventures of Tom Sawyer (Courage Literary Classics),674,['Mark Twain']
The Bluest Eye (G K Hall Large Print Book Series),580,['Toni Morrison']
The Electric Kool-Aid Acid Test,722,['Tom Wolfe']
The Girl Who Loved Tom Gordon,903,['Stephen King']
The Good Earth,602,"['Pearl S. Buck', 'Emily Hutchinson']"
The Grapes of Wrath,772,['John Steinbeck']
The Grapes of Wrath (Steinbeck Essentials),769,['John Steinbeck']
The Hitchhiker's Guide to the Galaxy,4042,['Douglas Adams']
The Killer Angels (Turtleback School & Library Binding Edition),800,['Michael Shaara']
The Lord of the Rings (3 Volume Set),2478,['J. R. R. Tolkien']
The Pearl,1141,['John Steinbeck']
The Red Tent (Bestselling Backlist),1753,['Anita Diamant']
"The Scarlet Letter (Lake Illustrated Classics, Collection 2)",777,['Thomas Hardy']
The Secret Garden,902,['Frances Hodgson Burnett']
The Stand. The Complete and Uncut Edition,1346,['Stephen King']
The grapes of wrath,771,['John Steinbeck']
The hitchhiker's guide to the galaxy,1010,['Douglas Adams']
"Ulysses,",1221,['James Joyce']
Who Moved My Cheese? An-Amazing Way to Deal with Change in Your Work and in Your Life,1882,['Spencer Johnson']
Wuthering Heights (New Windmill),1070,['Emily Brontë']
Wuthering Heights (Signet classics),2160,['Emily Brontë']
